text,true_emotion,predicted_emotion
"Gahh...BT, in queue for 30 minutes.. Now put through to BT Sport dept to cancel... back in a queue again... #shocking",fear,anger
"Are you worrying/worried?\n1Peter 5:7\nThrow all your worry on him, because he cares for you.#faith #leadership #worry #mindfulness #success",fear,fear
Trying to book holiday flights on @britishairways website is becoming a #nightmare,fear,fear
Hillary Clinton looked the other way to the Saudi war on women and their terror financing because they bought her off.,fear,anger
@LethalWeaponFOX This show SUCKS! #lame #awful you even used the same names?? lol SO SO bad! #Failed #notworth2minutes. Off air SOON,fear,anger
Okay. Brace yourself. I will attempt my first loaf of bread in the morning. I will use a dutch oven. I will make the dough now. ,fear,joy
i was so embarrassed when she saw us i was like knvfkkjg she thinks we're stalkers n then she starts waving all cheerfully inviting us in 😩,joy,sadness
@NateBLoL no it was that clear American naturally flavored sparkling water,joy,joy
"Our tone of voice: we're like One Direction, we're thoughtful and timid, yet playful",joy,joy
"If any trump supporters and Hillary haters wanna chirp some weak minded, pandering liberals just tweet at @EmmyA2 @snickerfritz04",joy,anger
"@Casper10666 I assure you there is no laughter, but increasing anger at the costs, and arrogance of Westminster.",joy,anger
@Bluebelle89 @lsmith855 liking the optimism,joy,joy
"@DocBellsSwan *peers down at you, eyes crinkling with mirth and affection* I do love ye so, my bonnie Belle.",joy,joy
A lifetime of laughter at the expense of the death of a bachelor,joy,sadness
A hearty Jonza! to all my friends and follower.,joy,joy
I hate it when im singing and some idiot thinks they can just join in with me like...this is not fcking glee #MeanRikonaBot,joy,anger
I love my family so much #lucky #grateful #smartassfamily #hilarious #love,joy,joy
"Be it a rainy day, be it cheerful sunshine, I am a Prussian, want nothing to be but a Prussian.:|",joy,joy
@yungdoujin wouldn't that basically be sparkling water,joy,joy
It feels good to get outside for a minute and get some fresh air.  It's hard to stay cooped up inside all day ,joy,joy
@GameGrumps THANK YOU SO MUCH FOR COMING TO DETROIT I'm going to sob joyful rainbows now brb,joy,joy
@r0Ils ppl get triggered over u smiling they're irrelevant,joy,joy
Nawaz Sharif is getting more funnier than @kapilsharmak9 day by day. #laughter #challenge #kashmir #baloch,joy,joy
@chencouture LMAO Is it that 'so slutty' hater girl? That video was hilarious. 😂,joy,joy
"@theclobra lol I thought maybe, couldn't decide if there was levity or not",joy,sadness
"A cheerful heart is good medicine, but a broken spirit saps a person's strength.' {Proverbs 17:22} #WednesdayWisdom",joy,joy
@xOffWithMyHeadx They've officially said all the episodes left (so future 12 and despair 11 and 12) will be delayed.,sadness,sadness
"Before the year ends I'll probably get master 12s or flu games, true blues, and space jams.",sadness,joy
"Hello my dear friends, I will be back online this Friday night. I miss you! #sober #sobriety #recovery",sadness,sadness
A .500 season is all I'm looking for at this point. #depressing #royals,sadness,sadness
@AnjiDunlap droop in leggings? Are they wearing XXXL?,sadness,anger
"I'd rather laugh with the rarest genius, in beautiful alliance with his own being, where he kept his sadness. #melancholy",sadness,sadness
I can't WAIT to go to work tomorrow with a high as fuck fever. [sarcasm]\nHopefully I'll feel better tomorrow.\nBut I doubt it. #pessimism,sadness,sadness
It's basically a dead skin peel which sounds grim. But it literally gets rid of so much dead skin from your pores.,sadness,sadness
I feel like an appendix. I don't have a purpose.  #depressed  #alone #lonely #broken  #cry #hurt #crying #life,sadness,sadness
@Barcabhoy1 Of course not. Didn't sink his studs into a knee like Forrester,sadness,anger
My life went from happy to unhappy..,sadness,sadness
It feel like we lost a family member🙄😂,sadness,sadness
@kayleighmcenany  @DonaldJTrumpJr Is that really all you can offer for those who sacrifice daily to keep you safe...? @kayleighmcenany #sad,sadness,sadness
watching this uni reveal is so depressing i miss stingrays :(,sadness,sadness
Remembering those day when u still did'nt know kpop n thinking about how sad your life was without it - Kpop fan,sadness,joy
"@GolfStrat out of Rory starts. What would your B group look like w/o him? Hideki and Walker, and throw Reed or Knox on the pine?",sadness,anger
Soooo badly want to dye my hair dark but have never been dark before soooo torn 😭😭😭,sadness,sadness
"@StaceyDavidson_ You're a thief and a liberal mope, investigated by the financial services board for theft of govt retirement funds. THIEF",sadness,anger
Common app just randomly logged me out as I was writing the last part of my college essay and lost all of it 😭😭😭,sadness,sadness
"@GRIPLIKEAVICE_ I wouldn't mind if it didn't you know, threaten my job when I disagree. Puts a damper on things.",sadness,fear
